names	A_loading	AUCs	corrs	color
CCL22	1	0.282932416953036	-0.451529460536088	Blue
CCL17	1	0.315702098247105	-0.310040191554346	Blue
TBC1D4	0.193571812431857	0.308476517754868	-0.416546544636946	Blue
DSE	0.144990939325119	0.295990836197022	-0.433709151432222	Blue
TNFAIP3	0.139006948430626	0.349599083619702	-0.358687902441097	Blue
CCR7	0.131146874576039	0.208247422680412	-0.552331340226689	Blue
BATF3	0.126377002954132	0.181099656357388	-0.589010979594944	Blue
MAML2	0.119228362851655	0.275143184421535	-0.462109882372877	Blue
IRF5	0.108339323606023	0.349369988545246	-0.359017918740773	Blue
RHOH	0.104454970916558	0.442845663679638	-0.0947422764599851	Blue
PCBD1	0.100284522986894	0.334249713631157	-0.380581075491745	Blue
CFAP57	0.100039143158578	0.31340206185567	-0.409735188882869	Blue
CD58	0.0907092850372356	0.32097431350855	-0.304130660381946	Blue
PITPNC1	0.089056187559253	0.469319480164226	-0.0578690467251475	Blue
DIMT1	0.0874804108209809	0.332989690721649	-0.382360348233191	Blue
BCL2L11	0.0843989453308219	0.504628795150414	0.00778830078244572	Red
CAMK4	0.0818916069107562	0.333447880870561	-0.381713626486515	Blue
POU2F2	0.0808673719696916	0.387506356289246	-0.18588036249677	Blue
DPYSL2	0.0755815923177562	0.256027667260165	-0.408615803114339	Blue
CEP83	0.0755000047746698	0.4035295784211	-0.164217247620202	Blue
HSP90B1	0.00653745245910753	0.936998072963606	0.721791030908088	Red
TXNDC5	0.0177220716094883	0.907944128156469	0.69248205475245	Red
CEP128	0.00224914794254048	0.89844977371366	0.664150306062268	Red
MZB1	0.0201528444967938	0.890742947022375	0.650198743420194	Red
FNDC3A	0.00487887107057066	0.85888129309271	0.594799132200668	Red
MAN1A1	0.0136670399991896	0.856852165290387	0.589646006302268	Red
ELL2	0.00295157038827002	0.856560740724458	0.593875819891369	Red
SUB1	0.00601916211302955	0.852976355336718	0.583709348028073	Red
RNF213	0.00626463542651536	0.847269054824063	0.573681649228846	Red
TXNDC11	0.00210611448736834	0.844007942613882	0.597780815118532	Red
PIM2	0.0017017284798564	0.843923240938166	0.757954028522211	Red
XBP1	0.0246482655598334	0.842120130813776	0.569551605165588	Red
PPIB	0.0221140698903024	0.832176623021368	0.548956587050921	Red
B2M	0.0183187000881022	0.830808256215242	0.546396610727403	Red
FNDC3B	0.030704040293321	0.825482064395743	0.570381845375166	Red
GAB1	0.00572720698533573	0.823667377398721	0.729715623718792	Red
MYO1D	0.00581575951047691	0.817900092077658	0.565960201403745	Red
TRAM1	0.00453329670168286	0.810995782012861	0.525377654018559	Red
ANKRD28	0.0315806655941194	0.80951404001104	0.514392651778756	Red
IQGAP2	0.0157876960451838	0.808591309529916	0.539970170409464	Red
