names	A_loading	AUCs	corrs	color
AFF3	1	0.0223367697594502	-0.811266219964336	Blue
PRDM1	1	0.94136460554371	0.891059966236444	Red
PDXK	0.428175955919164	0.716417910447761	0.573408549689214	Red
GLMN	0.410522226412552	0.270561282932417	-0.468319786575262	Blue
HPRT1	0.401314578886994	0.295418098510882	-0.43449326897568	Blue
RNPC3	0.398643626368687	0.325887743413517	-0.392344576986289	Blue
PISD	0.3981433773806	0.326460481099656	-0.391542070315085	Blue
TAP2	0.380583088441659	0.337686139747995	-0.375715611054397	Blue
CUL4A	0.380337689573459	0.270217640320733	-0.468785161253008	Blue
MAPK1	0.380099660244179	0.155784650630011	-0.623433257879424	Blue
SRFBP1	0.378142915492603	0.276632302405498	-0.460089575219825	Blue
BTBD10	0.375809168240946	0.31901489117984	-0.401940933155069	Blue
MRPL18	0.375388358146855	0.288659793814433	-0.443727636241697	Blue
BDH1	0.374888220757025	0.346964490263459	-0.362476711905501	Blue
LGALS3	0.374775748066095	0.670149253731343	0.499914919376371	Red
INTS6L	0.37473701283199	0.341466208476518	-0.370340716812381	Blue
CNPY3	0.374601264722982	0.346162657502864	-0.363627103791791	Blue
ERICH1	0.37413975277067	0.255555555555556	-0.488601901768744	Blue
PCBD2	0.370121360387065	0.309851088201604	-0.414648232406808	Blue
RBL2	0.369463586073233	0.31729667812142	-0.404330805808803	Blue
HSP90B1	0.034522741786689	0.936998072963606	0.721791030908088	Red
GLCCI1	0.127455691501185	0.922916150714274	0.737010895786215	Red
TXNDC5	0.130295752097647	0.907944128156469	0.69248205475245	Red
CEP128	0.1971492086504	0.89844977371366	0.664150306062268	Red
MZB1	0.140129619636789	0.890742947022375	0.650198743420194	Red
FNDC3A	0.0685086851376908	0.85888129309271	0.594799132200668	Red
MAN1A1	0.0524568966240386	0.856852165290387	0.589646006302268	Red
ELL2	0.28788336393659	0.856560740724458	0.593875819891369	Red
SUB1	0.0850486282381432	0.852976355336718	0.583709348028073	Red
RNF213	0.16688624941203	0.847269054824063	0.573681649228846	Red
TXNDC11	0.0196902379211188	0.844007942613882	0.597780815118532	Red
PIM2	0.147890223279415	0.843923240938166	0.757954028522211	Red
XBP1	0.0559287654772001	0.842120130813776	0.569551605165588	Red
PPIB	0.101853787029075	0.832176623021368	0.548956587050921	Red
B2M	0.0259604618239238	0.830808256215242	0.546396610727403	Red
FNDC3B	0.0950680194541315	0.825482064395743	0.570381845375166	Red
GAB1	0.12034217453205	0.823667377398721	0.729715623718792	Red
MYO1D	0.110011398199165	0.817900092077658	0.565960201403745	Red
TRAM1	0.0777769492020671	0.810995782012861	0.525377654018559	Red
