names	A_loading	AUCs	corrs	color
TP53INP1	1	0.752238805970149	0.627269174604739	Red
IFNG.AS1	1	0.75501066098081	0.631353239308835	Red
FNDC3B	0.201432008669515	0.825482064395743	0.570381845375166	Red
CLINT1	0.178529122519266	0.526006833774183	0.0431283955782909	Red
NGLY1	0.159513835358839	0.552393750442681	0.0878748228956052	Red
NXPE3	0.157622479507774	0.672494669509595	0.503777798959493	Red
EVI5	0.157596089032426	0.697867803837953	0.544571470533777	Red
SEC24A	0.149262485294329	0.651386367133405	0.276940595295799	Red
ST6GAL1	0.148844855595039	0.797988652710918	0.493371137681783	Red
XBP1	0.14759066196452	0.842120130813776	0.569551605165588	Red
SEC14L1	0.144514836814194	0.633437036711387	0.226998679126865	Red
WARS	0.14148687458866	0.617266246089142	0.197937222741209	Red
ITSN2	0.135950526796182	0.451855108356108	-0.0809585258948401	Blue
ADAR	0.133047590784363	0.435336327688997	-0.109355603127013	Blue
ACOXL	0.129446803820382	0.658208955223881	0.479971409996396	Red
FBXW7	0.1290717223036	0.687571518939422	0.30985159458929	Red
MBD4	0.127524006192249	0.491170216663369	-0.0159305204066598	Blue
CD38	0.125830113610919	0.67953091684435	0.515266954210452	Red
YTHDF2	0.125301201708441	0.476446730510433	-0.0399277250438096	Blue
C11orf80	0.123464304459795	0.528096630250808	0.0562720847169497	Red
HSP90B1	0.0431965090862834	0.936998072963606	0.721791030908088	Red
GLCCI1	0.0553977703801451	0.922916150714274	0.737010895786215	Red
TXNDC5	0.0196099616754203	0.907944128156469	0.69248205475245	Red
CEP128	0.0544648417147079	0.89844977371366	0.664150306062268	Red
MZB1	0.00852098353645118	0.890742947022375	0.650198743420194	Red
FNDC3A	0.0471670273167624	0.85888129309271	0.594799132200668	Red
MAN1A1	0.00340334329509062	0.856852165290387	0.589646006302268	Red
ELL2	0.0544301494403089	0.856560740724458	0.593875819891369	Red
SUB1	0.00842295331885387	0.852976355336718	0.583709348028073	Red
RNF213	0.0353195797496768	0.847269054824063	0.573681649228846	Red
TXNDC11	0.0590907956727664	0.844007942613882	0.597780815118532	Red
PIM2	0.0300867890290357	0.843923240938166	0.757954028522211	Red
PPIB	0.0408331757108687	0.832176623021368	0.548956587050921	Red
B2M	0.0269878874045533	0.830808256215242	0.546396610727403	Red
GAB1	0.0816917466811719	0.823667377398721	0.729715623718792	Red
MYO1D	0.0112158745240787	0.817900092077658	0.565960201403745	Red
TRAM1	0.0453811377470259	0.810995782012861	0.525377654018559	Red
ANKRD28	0.0147358372981166	0.80951404001104	0.514392651778756	Red
