names	A_loading	AUCs	corrs	color
BRIP1	1	0.378406201686706	-0.208885627306668	Blue
POLA1	1	0.365341676497239	-0.224066201506253	Blue
BRCA1	0.357310170084488	0.380310084335319	-0.201925740944579	Blue
AP001347.1	0.302567260968099	0.412377484203919	-0.155800550412325	Blue
PRIM2	0.255909974424634	0.433807594330752	-0.111010504493154	Blue
USP37	0.252917362085054	0.41581190757064	-0.151806485391942	Blue
FANCL	0.221130527701803	0.274570446735395	-0.462886641079945	Blue
STAG1	0.213303209236788	0.530928470069876	0.0511025199622519	Red
C11orf80	0.210205822879721	0.528096630250808	0.0562720847169497	Red
WDHD1	0.209784642741867	0.403330133817901	-0.170825640614353	Blue
MYBL2	0.208409211965931	0.543119845055527	0.0729240799204766	Red
SPATA5	0.206558116129567	0.476688379408798	-0.0404958582023943	Blue
BICD1	0.20569036109608	0.439292101104688	-0.108928725147067	Blue
TDRD3	0.203644027292452	0.4671713108488	-0.0621145710700874	Blue
HELLS	0.201455517750974	0.285134513978952	-0.355454659519531	Blue
RFC3	0.198602955489917	0.452206273492625	-0.0807946192052029	Blue
ABHD3	0.196531876130588	0.505940889562985	0.0116673317478041	Red
ZWILCH	0.191841648571843	0.453390680373293	-0.0858193860757637	Blue
AGTPBP1	0.187567790128203	0.465582690377274	-0.0594676941838308	Blue
TYMS	0.186548022372034	0.402929632641896	-0.164382093223604	Blue
HSP90B1	0.0204510270008628	0.936998072963606	0.721791030908088	Red
GLCCI1	0.0173075709686336	0.922916150714274	0.737010895786215	Red
TXNDC5	0.0252837593685059	0.907944128156469	0.69248205475245	Red
CEP128	0.102075315939566	0.89844977371366	0.664150306062268	Red
MZB1	0.00842030745575227	0.890742947022375	0.650198743420194	Red
FNDC3A	0.0334214077149775	0.85888129309271	0.594799132200668	Red
MAN1A1	0.00868206562588178	0.856852165290387	0.589646006302268	Red
ELL2	0.0304993567275797	0.856560740724458	0.593875819891369	Red
SUB1	0.0298764769544856	0.852976355336718	0.583709348028073	Red
RNF213	0.0480532207419821	0.847269054824063	0.573681649228846	Red
TXNDC11	0.0203022387851864	0.844007942613882	0.597780815118532	Red
PIM2	0.0173073375322391	0.843923240938166	0.757954028522211	Red
XBP1	0.0315976688456968	0.842120130813776	0.569551605165588	Red
PPIB	0.0185262262188166	0.832176623021368	0.548956587050921	Red
B2M	0.00442974833963755	0.830808256215242	0.546396610727403	Red
FNDC3B	0.0238769704063442	0.825482064395743	0.570381845375166	Red
GAB1	0.0341885378690477	0.823667377398721	0.729715623718792	Red
MYO1D	0.0107900150439274	0.817900092077658	0.565960201403745	Red
TRAM1	0.00364369630634075	0.810995782012861	0.525377654018559	Red
ANKRD28	0.0652315285756074	0.80951404001104	0.514392651778756	Red
