names	A_loading	AUCs	corrs	color
CCL22	1	0.282932416953036	-0.451529460536088	Blue
CCL17	1	0.315702098247105	-0.310040191554346	Blue
TBC1D4	0.193571812431857	0.308476517754868	-0.416546544636946	Blue
DSE	0.144990939325119	0.295990836197022	-0.433709151432222	Blue
TNFAIP3	0.139006948430626	0.349599083619702	-0.358687902441097	Blue
CCR7	0.131146874576039	0.208247422680412	-0.552331340226689	Blue
BATF3	0.126377002954132	0.181099656357388	-0.589010979594944	Blue
MAML2	0.119228362851655	0.275143184421535	-0.462109882372877	Blue
IRF5	0.108339323606023	0.349369988545246	-0.359017918740773	Blue
RHOH	0.104454970916558	0.442845663679638	-0.0947422764599851	Blue
PCBD1	0.100284522986894	0.334249713631157	-0.380581075491745	Blue
CFAP57	0.100039143158578	0.31340206185567	-0.409735188882869	Blue
CD58	0.0907092850372356	0.32097431350855	-0.304130660381946	Blue
PITPNC1	0.089056187559253	0.469319480164226	-0.0578690467251475	Blue
DIMT1	0.0874804108209809	0.332989690721649	-0.382360348233191	Blue
BCL2L11	0.0843989453308219	0.504628795150414	0.00778830078244572	Red
CAMK4	0.0818916069107562	0.333447880870561	-0.381713626486515	Blue
POU2F2	0.0808673719696916	0.387506356289246	-0.18588036249677	Blue
DPYSL2	0.0755815923177562	0.256027667260165	-0.408615803114339	Blue
CEP83	0.0755000047746698	0.4035295784211	-0.164217247620202	Blue
MCOLN2	0.0744318070019102	0.117640320733104	-0.675887141401627	Blue
SRI	0.0728174316261827	0.364999206227087	-0.234383959049076	Blue
IMMP1L	0.0718893342194703	0.46889753490769	-0.0578713557533952	Blue
ARID2	0.0692313163211127	0.522409308391767	0.0375584698035872	Red
TLK1	0.0685003416465058	0.426058367954044	-0.122593887630167	Blue
PPP1R16B	0.0684117121293266	0.404676616915423	-0.159119309036391	Blue
NCF1	0.0670185916443616	0.585495204390419	0.147533961132976	Red
JAK1	0.066466506773875	0.527176488690568	0.0451282644794943	Red
CNPY2	0.0663886454466269	0.5343553220642	0.0596897513982726	Red
CMIP	0.0656701579286233	0.382343413028134	-0.204324119564409	Blue
CLEC2B	0.0653124790180555	0.55342223589954	0.0992912344858353	Red
HECA	0.0652116816826638	0.305383734249714	-0.420810936455072	Blue
TRIR	0.0651699144210196	0.426684447179908	-0.125532386172382	Blue
