"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cux1.W.Pax7(Paired,Homeobox),longest-Myoblast-Pax7-ChIP-Seq(GSE25064)-Homer_-4|-|-",1279.4875,-0.00666696748175899,0.23362771409093,-0.0285367149513954,0.977234085647517,0.999999953144169
"Cux1.W.Pax7(Paired,Homeobox),longest-Myoblast-Pax7-ChIP-Seq(GSE25064)-Homer_-4|+|+",1201.8875,-0.0046769022711316,0.521822437505711,-0.00896263160604399,0.992848950356667,0.999999953144169
"Cux1.W.Cxxc1_-4|+|+",1603.325,0.17659427494071,0.164736770855338,1.07197849043542,0.283729693417117,0.999999953144169
"Crebzf.W.Smad4_-3|-|+",13.6375,0.643427709963829,0.82372878499139,0.781115971284838,0.434734289189914,0.999999953144169
"Crebzf.W.Smad4_-3|+|-",10.35,0.548229487320964,0.895194982181801,0.612413494526968,0.540264215782943,0.999999953144169
"Crebzf.W.Nfe2l1_-3|-|-",484.7875,0.329169763078017,0.911378925745197,0.361177720681733,0.717966595939577,0.999999953144169
"Crebzf.W.Nfe2l1_-3|+|+",319.11875,1.66914918419582,1.20960121849914,1.37991691697109,0.167612227276461,0.999999953144169
"Creb1.W.Rara_-4|-|-",1060.20625,-0.937980525458566,0.407859570790323,-2.2997634299497,0.0214616263476422,0.999999953144169
"Creb1.W.Arid3a_-4|+|+",1891.7,0.0503741151399483,0.282700006781262,0.178189295831624,0.858574315886986,0.999999953144169
"Arid3a.W.Zfp384_-4|-|+",517.00625,-0.632331958893678,0.542505468938334,-1.16557711414621,0.243785465298016,0.999999953144169
"Arid3a.W.Zfp384_-4|+|-",1054.24375,-0.017965359627871,0.328322617499838,-0.0547186172085141,0.95636263719486,0.999999953144169
"Zfp384.W.Creb3_-3|+|+",1298.64375,-0.0392899172185785,0.343700884436911,-0.114314274410284,0.908988667333192,0.999999953144169
"Zeb1.W.Ybx1_-3|-|-",1155.64375,0.136261317989203,0.406821287181777,0.334941465165559,0.737669242180956,0.999999953144169
"Zeb1.W.Smad4_-1|-|+",1638.25625,-0.0618439494071346,0.181452129766839,-0.340827905886817,0.733233141075465,0.999999953144169
