names	A_loading	AUCs	corrs	color
CCL22	1	0.282932416953036	-0.451529460536088	Blue
CCL17	1	0.315702098247105	-0.310040191554346	Blue
TBC1D4	0.193571812431857	0.308476517754868	-0.416546544636946	Blue
DSE	0.144990939325119	0.295990836197022	-0.433709151432222	Blue
TNFAIP3	0.139006948430626	0.349599083619702	-0.358687902441097	Blue
CCR7	0.131146874576039	0.208247422680412	-0.552331340226689	Blue
BATF3	0.126377002954132	0.181099656357388	-0.589010979594944	Blue
MAML2	0.119228362851655	0.275143184421535	-0.462109882372877	Blue
IRF5	0.108339323606023	0.349369988545246	-0.359017918740773	Blue
RHOH	0.104454970916558	0.442845663679638	-0.0947422764599851	Blue
HSP90B1	0.00653745245910753	0.936998072963606	0.721791030908088	Red
TXNDC5	0.0177220716094883	0.907944128156469	0.69248205475245	Red
CEP128	0.00224914794254048	0.89844977371366	0.664150306062268	Red
MZB1	0.0201528444967938	0.890742947022375	0.650198743420194	Red
FNDC3A	0.00487887107057066	0.85888129309271	0.594799132200668	Red
MAN1A1	0.0136670399991896	0.856852165290387	0.589646006302268	Red
ELL2	0.00295157038827002	0.856560740724458	0.593875819891369	Red
SUB1	0.00601916211302955	0.852976355336718	0.583709348028073	Red
RNF213	0.00626463542651536	0.847269054824063	0.573681649228846	Red
TXNDC11	0.00210611448736834	0.844007942613882	0.597780815118532	Red
